,Theme,Genre,Title
2269,space,comedy mystery sci fi,journey crisis st freya special event
1089,detective historical,action drama mystery romance,detective conan movie crimson love letter
2653,every,action adventure drama mystery sci fi,jyu oh sei planet beast king
1894,racing,sports,yowamushi pedal th season yowapeda th season
1189,every,action fantasy,beyond boundary daybreak
2370,harem school,comedy romance,never learn bokuben
472,school team sports team sportsteam,sports,haikyuu movie winner loser
2009,detective,comedy mystery,detective conan ova follow vanished diamond conan heiji vs kid
3399,racing,sports,nasu summer andalusia
1726,historical school team sports team sportsteam,comedy sports,taisho baseball girls
2302,every,drama romance supernatural,air
1497,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc iyashikei school visual arts visual artsvisual,slice life slice lifeslice,hidamari sketch tokubetsu hen
361,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc iyashikei,slice life slice lifeslice,tamayura kanketsu hen movie
135,every,drama sci fi,steins gate movie load region j vu
1134,combat sports combat sportscombat gore,sports,baki hanma
1151,harem school,comedy romance,quintessential quintuplets
3542,every,horror supernatural,graveyard kitaro
1053,every,action fantasy,kyousougiga
3208,mahou shoujo mahou shoujomahou,fantasy,long
22,gag humor gag humorgag historical parody samurai,action comedy sci fi,gintama silver soul arc second half war
1729,gore historical,action adventure drama,vinland saga season episode
3609,martial arts martial artsmartial samurai,action adventure comedy drama,jubei chan counterattack siberia yagyu
2208,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc gag humor gag humorgag school,comedy,yuyushiki special
695,adult cast adult castadult gore historical isekai military samurai,action adventure comedy fantasy,drifters
420,school time time travel time traveltime,award winning award winningaward drama romance sci fi,girl leapt time
2166,adult cast adult castadult harem,comedy romance ecchi,caf terrace goddesses
460,every,action adventure fantasy,one piece film strong world
1067,music,nan,lie april moments
87,childcare,award winning award winningaward fantasy slice life slice lifeslice,wolf children
282,isekai military reincarnation,action fantasy,saga tanya evil movie
1569,detective,adventure comedy mystery,detective conan magic file kudou shinichi case mysterious wall black lab
1501,every,sports,birdie wing golf girls ' story
2268,isekai,action adventure fantasy,kiba
3668,harem historical military time time travel time traveltime,action comedy romance,ambition oda nobuna
2380,mythology school,action comedy fantasy romance ecchi,high school dxd episodes highschool dxd ova
859,school visual arts visual artsvisual,drama,blue period
533,every,fantasy mystery,shadows house nd season
3143,every,adventure fantasy,tower druaga aegis uruk jil 's adventure
3388,every,adventure drama fantasy,oni thunder god 's tale
2066,school,action comedy,assassination classroom movie days ' time
3218,detective,mystery supernatural,ryoko 's case file
3620,every,adventure,megaman star force tribe
3192,video game video gamevideo,action adventure fantasy mystery sci fi,hack beyond world
2937,mecha music psychological,action avant garde avant gardeavant fantasy romance sci fi,shanghai dragon deathtic doorbell limit cycle happy machine baby blue
3804,historical isekai,action adventure fantasy,n't play rules determine destiny
1403,historical samurai,action drama supernatural,hakuoki demon fleeting blossom record jade blood
1539,isekai,fantasy,zero starting life another world memory snow manner movie
3496,detective workplace,action adventure comedy,'re arrest full throttle special
3774,martial arts martial artsmartial,action adventure fantasy romance,spirit sword sovereign
1221,every,avant garde avant gardeavant,puparia
942,mythology school,drama fantasy romance,ancient magus ' bride season
3715,military,comedy romance sci fi ecchi,mahoromatic episode mahoromatic recap mahoromatic special mahoromatic nenmatsu special
2501,every,action adventure fantasy,wrong try pick girls dungeon ii
2138,mahou shoujo mahou shoujomahou,action comedy fantasy,pretty cure splash star
2670,love polygon love polygonlove,comedy horror romance supernatural ecchi,sankarea zombie
887,school,drama romance supernatural,rascal dream sister venturing
3286,idols female idols female idols music,action sci fi,symphogear
685,adult cast adult castadult detective historical vampire,fantasy mystery,undead murder farce
3447,super power super powersuper team sports team sportsteam,sports,inazuma eleven reloaded reformation soccer
413,gag humor gag humorgag school super power super powersuper,comedy supernatural,disastrous life saiki k reawakened
789,school,award winning award winningaward comedy mystery sci fi,melancholy haruhi suzumiya
2113,music showbiz,drama romance,sensual phrase
1344,every,action adventure fantasy,radiant season
2115,childcare,comedy drama,kurenai
2965,every,adventure fantasy supernatural,chronicle big battle yin yang
3637,historical,comedy drama romance supernatural,fox spirit matchmaker th season
2063,isekai reincarnation,action drama fantasy mystery romance,world 's finest assassin gets reincarnated another world aristocrat
272,historical mythology,action fantasy mystery,black butler book atlantic
1674,isekai parody,comedy fantasy,gekijouban isekai quartet another world
521,every,action comedy fantasy,black clover sword wizard king
522,adult cast adult castadult organized crime organized crimeorganized,action,black lagoon roberta 's blood trail
2506,anthropomorphic,adventure drama,ginga legend weed
350,every,adventure comedy sci fi,dr stone ryusui
3210,every,comedy,usavich iii
2104,adult cast adult castadult video game video gamevideo,comedy romance,recovery mmo junkie special
3813,every,comedy girls love girls lovegirls,uzamaid maid still seriously way annoying
1450,historical samurai,award winning award winningaward drama romance,long
651,every,fantasy,touhou fantasy kaleidoscope memories phantasm
1361,racing,action drama,initial project next stage speculations project
3413,every,drama romance slice life slice lifeslice,'m joybo
3577,school,action,release spyce
2924,mahou shoujo mahou shoujomahou,action comedy fantasy,pretty cure
3111,super power super powersuper,action fantasy romance,munto tv
3460,every,boys love boys loveboys,tight rope
1808,mahou shoujo mahou shoujomahou school,action fantasy girls love girls lovegirls,hime
168,adult cast adult castadult space,action sci fi,cowboy bebop movie
3583,harem isekai,action adventure fantasy,arifureta detour world 's strongest
962,adult cast adult castadult military,action comedy romance,library wars wings revolution
945,every,action adventure comedy fantasy,pok mon series xyz
462,historical martial arts martial artsmartial,action adventure fantasy,demon hunter
2658,every,action adventure comedy fantasy,rune soldier
328,otaku culture otaku cultureotaku school,romance,dress darling
1550,mecha military space,action sci fi,heroic age
2181,space,action drama sci fi,space pirate captain harlock
367,school team sports team sportsteam,sports,haikyu movie talent sense
3335,love polygon love polygonlove,drama romance,town live uchi ga kita machi town came
2917,every,action sci fi,cencoroll
2111,harem parody school,comedy,student council 's discretion level
2763,harem school,action fantasy romance sci fi,date live ii
772,gag humor gag humorgag parody school,comedy,sayonara zetsubou sensei
2453,every,sports,gymnastics samurai
3608,harem,action fantasy,beast tamer
3037,delinquents mythology vampire,action comedy fantasy,blood lad ova
498,isekai mythology school,comedy fantasy,welcome demon school iruma kun season
1234,mecha psychological survival,action drama sci fi suspense,bokurano
1420,historical military,adventure drama fantasy,altair record battles
435,isekai reincarnation,fantasy,ascendance bookworm season
365,every,action fantasy supernatural,fate stay night heaven 's feel presage flower
1862,gag humor gag humorgag parody school,comedy,sayonara zetsubou sensei preface zetsubou girls collection
276,long,suspense,kaiji rules
2552,pets,comedy slice life slice lifeslice,dog cat every day fun
3602,performing arts performing artsperforming,comedy,revue starlight specials
1584,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc school,slice life slice lifeslice,hello kinmoza
407,every,action adventure fantasy,one piece episode nami tears navigator bonds friends
2249,harem parody,action comedy romance,hayate combat butler episode hayate gotoku ova
1263,historical martial arts martial artsmartial,action adventure fantasy,record mortal 's journey immortality season
3374,military video game video gamevideo,action,sao alternative gun gale online
844,mahou shoujo mahou shoujomahou,drama fantasy slice life slice lifeslice,yuki yuna hero washio sumi chapter spirit
1788,school,comedy gourmet,toradora bento battle
1670,harem mythology school,action comedy fantasy romance ecchi,high school dxd new
2003,adult cast adult castadult mythology,mystery romance supernatural,spectre
2164,idols female idols female idols music school,slice life slice lifeslice,love live nijigasaki high school idol club next sky
1910,gag humor gag humorgag parody school,comedy,long
3240,mecha,action sci fi,gundam build divers rise
1783,mecha,action sci fi,ssss dynazenon
3384,crossdressing parody school,comedy girls love girls lovegirls,maria holic
855,military space,action romance sci fi,banner stars ii
3121,mecha military space,drama sci fi,mobile suit zeta gundam new translation iii love pulse stars
78,historical,action fantasy,demon slayer kimetsu yaiba movie mugen train
944,every,action adventure fantasy sci fi slice life slice lifeslice,long
199,isekai reincarnation,action adventure comedy fantasy,time got reincarnated slime season part
1600,school,horror mystery romance supernatural,dusk maiden amnesia ghost girl
